dataset,pair_id,cluster,isolated_fact_preference,frozen_k3_residual,spearman,spearman_ci_low,spearman_ci_high,source_id,source_path,source_sha256,json_path
2Wiki,validationpair-008a5701272a8743557961e4,father -> country of citizenship,3.2226563692092896,1.906249761581421,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-009f46c7309fcb9490640f35,spouse -> place of birth,0.3087186813354492,1.176525354385376,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00bf31388a0b5ead4fb35ba6,composer -> place of death,2.3164061307907104,0.5000004768371582,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00c2b2e72057a64034b5cbbc,spouse -> place of birth,1.933877944946289,1.0238044261932373,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00c9f6e99fed79d201f6fdfb,composer -> country of citizenship,1.953125,1.671875,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00d0ba26484c7f83842bb2c0,performer -> place of birth,1.2876372337341309,0.49101531505584717,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-00fb520d69f6ab372d7b144d,director -> spouse,0.753192663192749,0.14653968811035156,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-012fa4e38845d7fc6c76e011,father -> place of burial,2.5902838706970215,1.9602751731872559,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0144ad89d1e3e13cc6c4d0d4,performer -> place of birth,0.7656251192092896,0.6874998807907104,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
2Wiki,validationpair-0155d694746300b6707e2b7c,performer -> country of citizenship,4.0625001192092896,0.6406253576278687,0.4583855232100707,0.2339433898142198,0.6393032170887254,terminal_compatibility,reports/discovery/ouro26_terminal_fact_compatibility_v1_20260906/result.json,fa04368d6a6719f1b46335f6d89bbcb1ea4b38134a86248db25f4bf17bb2fe90,datasets.2wiki.pair_records
