model,dataset,deep_exit,cluster,metric,value,source_id,source_path,source_sha256,json_path
Ouro-2.6B,2Wiki,3,mother -> place of death,deep specificity,3.9078050553798676,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.mother -> place of death.C3
Ouro-2.6B,2Wiki,3,mother -> place of death,specificity gain,3.9497812688350677,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.mother -> place of death.A31
Ouro-2.6B,2Wiki,3,performer -> award received,deep specificity,5.471928834915161,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> award received.C3
Ouro-2.6B,2Wiki,3,performer -> award received,specificity gain,5.386660397052765,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> award received.A31
Ouro-2.6B,2Wiki,3,performer -> country of citizenship,deep specificity,8.543945461511612,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> country of citizenship.C3
Ouro-2.6B,2Wiki,3,performer -> country of citizenship,specificity gain,8.534118801355362,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> country of citizenship.A31
Ouro-2.6B,2Wiki,3,performer -> place of birth,deep specificity,6.613185465335846,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> place of birth.C3
Ouro-2.6B,2Wiki,3,performer -> place of birth,specificity gain,6.590968072414398,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> place of birth.A31
Ouro-2.6B,2Wiki,3,performer -> place of death,deep specificity,7.984031409025192,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> place of death.C3
Ouro-2.6B,2Wiki,3,performer -> place of death,specificity gain,7.978676646947861,ouro_specificity,reports/discovery/ouro26_2wiki_offpath_specificity_v2_20260905T191900Z/model_merged.json,909fe2dcbd3fd2b78f5545332e6b430f45bd9ed18167a01620369aca2b1faf7b,summary.descriptive.per_relation_path.performer -> place of death.A31
